"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.439838803E1,-2.134511170E1,5.549208635E1,4.993522531E1,4.879397698E1,1.442000008E1,3.058591175E1,2.154092163E-1,4.748651530E0,4.029364438E0,-1.000000000E0
1.539839244E1,-2.134500738E1,5.549215548E1,5.064787179E1,4.950636809E1,1.442000008E1,3.093747399E1,2.292844952E-1,4.748651530E0,4.029364438E0,-1.000000000E0
1.639839363E1,-2.134489934E1,5.549222252E1,5.149308601E1,5.035131096E1,1.414000034E1,3.058591225E1,2.438084497E-1,4.748651530E0,4.029364438E0,-1.000000000E0
1.739839411E1,-2.134478852E1,5.549229673E1,5.216532722E1,5.102328201E1,1.414000034E1,3.023435002E1,2.561453087E-1,4.748651530E0,4.029364438E0,-1.000000000E0
1.839839387E1,-2.134469280E1,5.549235697E1,5.260605995E1,5.146377559E1,1.314999962E1,3.058591402E1,2.690353675E-1,4.748651530E0,4.029364438E0,-1.000000000E0
1.939839447E1,-2.134459155E1,5.549241757E1,5.323844521E1,5.209590312E1,1.314999962E1,3.058591402E1,2.785587039E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.039839506E1,-2.134451758E1,5.549246393E1,5.405362805E1,5.291090085E1,1.177000046E1,3.023435420E1,2.855077428E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.139839363E1,-2.134446045E1,5.549249112E1,5.454031957E1,5.339743637E1,1.014000034E1,2.988279477E1,2.902979384E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.239839280E1,-2.134442215E1,5.549251229E1,5.505447649E1,5.391149314E1,7.849999905E0,3.023436113E1,2.948097261E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.339839196E1,-2.134438713E1,5.549253430E1,5.547757004E1,5.433449915E1,5.849999905E0,2.988280227E1,3.000157021E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.439839172E1,-2.134434707E1,5.549256032E1,5.592697189E1,5.478380212E1,5.849999905E0,2.953123988E1,3.031864788E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.539839041E1,-2.134432333E1,5.549257727E1,5.637179507E1,5.522856896E1,4.579999924E0,3.093749174E1,3.087672310E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.639838970E1,-2.134427999E1,5.549260444E1,5.660238589E1,5.545905132E1,4.579999924E0,3.058592932E1,3.167824368E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.739838970E1,-2.134421872E1,5.549264523E1,5.694735755E1,5.580387325E1,5.760000229E0,3.023436482E1,3.291244109E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.839838886E1,-2.134411969E1,5.549269903E1,5.730405171E1,5.616030702E1,9.640000343E0,2.953123333E1,3.399810648E-1,4.748651530E0,4.029364438E0,-1.000000000E0
2.939838755E1,-2.134403482E1,5.549275086E1,5.765756860E1,5.651360941E1,1.043999958E1,2.953123194E1,3.510028681E-1,4.748651530E0,4.029364438E0,-1.000000000E0
3.039838791E1,-2.134394828E1,5.549280274E1,5.808566918E1,5.694148978E1,1.043999958E1,2.953123194E1,3.643873936E-1,4.748651530E0,4.029364438E0,-1.000000000E0
3.139838755E1,-2.134384378E1,5.549286688E1,5.849283629E1,5.734839322E1,1.135999966E1,2.953123035E1,3.795258930E-1,4.748651530E0,4.029364438E0,-1.000000000E0
3.239838648E1,-2.134372603E1,5.549294025E1,5.912845920E1,5.798372069E1,1.282999992E1,2.953122781E1,3.935568510E-1,4.748651530E0,4.029364438E0,-1.000000000E0
3.339838636E1,-2.134361173E1,5.549299764E1,6.298151071E1,6.183646453E1,1.319582371E1,2.964111304E1,4.049812326E-1,1.999999942E0,3.000000000E0,-1.000000000E0
3.439838600E1,-2.134352334E1,5.549305387E1,6.356710805E1,6.242184180E1,1.207414595E1,3.020191803E1,4.142481092E-1,2.274998284E0,3.000000000E0,-1.000000000E0
3.539838505E1,-2.134345166E1,5.549309953E1,6.406634445E1,6.292089984E1,1.038508906E1,3.040694268E1,4.215719816E-1,2.164521153E0,3.000000000E0,-1.000000000E0
3.639838433E1,-2.134339557E1,5.549313659E1,6.438363074E1,6.323804856E1,8.652662381E0,3.039191106E1,4.278965590E-1,2.361401292E0,3.000000000E0,-1.000000000E0
3.739838445E1,-2.134334665E1,5.549316774E1,6.474673046E1,6.360102651E1,7.349434211E0,3.055875372E1,4.331556624E-1,2.791693938E0,3.000000000E0,-1.000000000E0
3.839838362E1,-2.134330643E1,5.549319447E1,6.492010743E1,6.377430509E1,6.244339947E0,2.997805977E1,4.344706893E-1,2.581206236E0,3.000000000E0,-1.000000000E0
3.939838350E1,-2.134329898E1,5.549320433E1,6.451636414E1,6.337055097E1,4.205124784E0,2.997805977E1,4.387885189E-1,2.486805362E0,3.000000000E0,-1.000000000E0
4.039838326E1,-2.134326599E1,5.549322632E1,6.484943622E1,6.370354241E1,4.257810878E0,2.997805977E1,4.424206910E-1,2.427993415E0,3.000000000E0,-1.000000000E0
4.139838266E1,-2.134323726E1,5.549324301E1,6.495304572E1,6.380707797E1,3.782502679E0,2.997805977E1,4.453068219E-1,2.414775031E0,3.000000000E0,-1.000000000E0
4.239838362E1,-2.134321185E1,5.549324870E1,6.488529327E1,6.373924646E1,3.117689013E0,2.997805977E1,4.476430549E-1,2.362928142E0,3.000000000E0,-1.000000000E0
4.339838254E1,-2.134319099E1,5.549324604E1,6.502790990E1,6.388178710E1,2.432281426E0,2.981700897E1,4.492755854E-1,2.322602797E0,3.000000000E0,-1.000000000E0
4.439838159E1,-2.134318520E1,5.549326053E1,6.503373244E1,6.388761152E1,1.923120602E0,2.981700897E1,4.502575017E-1,2.319790243E0,3.000000000E0,-1.000000000E0
4.539838135E1,-2.134317753E1,5.549326522E1,6.482637730E1,6.368023700E1,1.677647598E0,2.981700897E1,4.513636576E-1,3.699395147E0,3.000000000E0,-1.000000000E0
4.639838171E1,-2.134316758E1,5.549326559E1,6.494367396E1,6.379749991E1,1.845455484E0,3.408299011E2,4.517095990E-1,4.859090115E0,3.000000000E0,-1.000000000E0
4.739838183E1,-2.134316447E1,5.549326551E1,6.515158130E1,6.400539640E1,1.728766263E0,3.280794605E2,4.519654958E-1,6.545745140E0,3.000000000E0,-1.000000000E0
4.839838159E1,-2.134316417E1,5.549326306E1,6.579431913E1,6.464812949E1,1.821981714E0,3.117227190E2,4.524350805E-1,8.786533488E0,3.000000000E0,-1.000000000E0
4.939838099E1,-2.134316676E1,5.549325948E1,6.509949707E1,6.395331098E1,1.715155044E0,3.000907301E2,"",1.048151426E1,3.000000000E0,-1.000000000E0
