"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.165074348E-3,-2.134624168E1,5.549132929E1,4.587295081E1,4.473445526E1,NaN,NaN,3.810047113E-2,2.037361453E1,3.000000000E0,-1.000000000E0
5.368304253E-2,-2.134590234E1,5.549127827E1,4.649295081E1,4.535320806E1,NaN,NaN,7.795553123E-2,5.277061203E2,3.000000000E0,-1.000000000E0
8.806520700E-1,-2.134577174E1,5.549163664E1,4.649295081E1,4.535329928E1,NaN,NaN,9.372212470E-2,2.596852104E1,3.000000000E0,-1.000000000E0
2.398345947E0,-2.134591294E1,5.549165058E1,4.847921562E1,4.734007207E1,0.000000000E0,NaN,9.737948544E-2,1.400000000E1,4.000000000E0,-1.000000000E0
3.398345351E0,-2.134591763E1,5.549161563E1,4.838137627E1,4.724219607E1,0.000000000E0,NaN,9.887425039E-2,4.083998968E0,4.000000000E0,-1.000000000E0
4.398345232E0,-2.134591549E1,5.549160138E1,4.788467216E1,4.674546307E1,0.000000000E0,3.058593750E1,1.023355444E-1,3.535533906E0,4.000000000E0,-1.000000000E0
5.398345470E0,-2.134588452E1,5.549160473E1,4.681551933E1,4.567620850E1,4.139999866E0,2.988281250E1,1.081888709E-1,3.535533906E0,3.000000000E0,-1.000000000E0
6.398362160E0,-2.134583649E1,5.549162786E1,4.635751152E1,4.521807002E1,7.210000038E0,2.988281250E1,1.149752606E-1,3.535533906E0,3.000000000E0,-1.000000000E0
7.398367167E0,-2.134578088E1,5.549165485E1,4.635586357E1,4.521627108E1,7.210000038E0,2.988281250E1,1.242573992E-1,3.535533906E0,3.000000000E0,-1.000000000E0
8.398370504E0,-2.134570934E1,5.549170104E1,4.709896660E1,4.595919719E1,7.980000019E0,3.023437500E1,1.347188418E-1,3.535533906E0,3.000000000E0,-1.000000000E0
9.398374677E0,-2.134562866E1,5.549175301E1,4.780850029E1,4.666853120E1,1.101000023E1,3.023437500E1,1.463330115E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.039837730E1,-2.134553994E1,5.549181218E1,4.836874199E1,4.722855635E1,1.210999966E1,3.023437500E1,1.592702945E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.139837801E1,-2.134543940E1,5.549187505E1,4.881680107E1,4.767636368E1,1.210999966E1,2.988281250E1,1.733209880E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.239838028E1,-2.134533148E1,5.549194562E1,4.961636162E1,4.847565868E1,1.364999962E1,3.023437500E1,1.870090724E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.339838362E1,-2.134522497E1,5.549201188E1,4.961637595E1,4.847540578E1,1.364999962E1,3.023435088E1,2.017775004E-1,4.748651530E0,4.029364438E0,-1.000000000E0
