"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.131030798E1,-2.134361247E1,5.549295616E1,5.965659812E1,5.851149190E1,1.364999962E1,2.100484467E2,3.132978537E-1,4.748651530E0,4.029364438E0,-1.000000000E0
3.231030667E1,-2.134372496E1,5.549288670E1,5.903745837E1,5.789263536E1,1.405000019E1,2.100484467E2,3.248403759E-1,4.748651530E0,4.029364438E0,-1.000000000E0
3.331030428E1,-2.134382016E1,5.549284226E1,6.119691733E1,6.005235562E1,1.399864439E1,2.094541626E2,3.397545304E-1,2.187068690E0,3.000000000E0,-1.000000000E0
3.431030214E1,-2.134393722E1,5.549277196E1,6.048434352E1,5.934007950E1,1.433548815E1,2.100300751E2,3.543569338E-1,2.171981248E0,3.000000000E0,-1.000000000E0
3.531030071E1,-2.134405112E1,5.549270179E1,5.951715059E1,5.837317354E1,1.432368824E1,2.100300751E2,3.653407059E-1,2.157586097E0,3.000000000E0,-1.000000000E0
3.631029928E1,-2.134413708E1,5.549264953E1,5.828146494E1,5.713770551E1,1.208227517E1,2.093532211E2,3.746892577E-1,2.382997066E0,3.000000000E0,-1.000000000E0
3.731029832E1,-2.134420972E1,5.549260410E1,5.747668213E1,5.633310469E1,1.012722728E1,2.094009150E2,3.817369972E-1,2.208296722E0,3.000000000E0,-1.000000000E0
3.831029677E1,-2.134426493E1,5.549257067E1,5.707330999E1,5.592987252E1,7.904160228E0,2.094439607E2,3.862810331E-1,2.285316921E0,3.000000000E0,-1.000000000E0
3.931029522E1,-2.134430056E1,5.549254918E1,5.697526907E1,5.583192203E1,5.521479441E0,2.094454789E2,3.901346005E-1,2.182719964E0,3.000000000E0,-1.000000000E0
4.031029463E1,-2.134433066E1,5.549253074E1,5.708820353E1,5.594493249E1,4.439589990E0,2.096621592E2,3.959666793E-1,2.172975517E0,3.000000000E0,-1.000000000E0
4.131029332E1,-2.134437647E1,5.549250333E1,5.707742665E1,5.593427223E1,5.569225813E0,2.094900942E2,4.046282700E-1,2.138380444E0,3.000000000E0,-1.000000000E0
4.231029141E1,-2.134444424E1,5.549246208E1,5.640809845E1,5.526511549E1,7.806427307E0,2.095867915E2,4.152669633E-1,2.114125727E0,3.000000000E0,-1.000000000E0
4.331029105E1,-2.134452687E1,5.549241030E1,5.626959784E1,5.512682169E1,9.772848650E0,2.100145686E2,4.281062544E-1,2.083124271E0,3.000000000E0,-1.000000000E0
4.431029010E1,-2.134462664E1,5.549234789E1,5.548610189E1,5.434357560E1,1.184245936E1,2.103232719E2,4.431276007E-1,2.049946598E0,3.000000000E0,-1.000000000E0
4.531028950E1,-2.134474308E1,5.549227437E1,5.479122109E1,5.364898540E1,1.409138142E1,2.106077115E2,4.606515377E-1,2.304643103E0,3.000000000E0,-1.000000000E0
